country,crop,plant_median,temp_average,temp_at_planting,precip_at_planting,crop_code
Cuba,Rice,14.5,25.181317994024,22.2899600293599,36.273145590318,87
Dominican Republic,Rice,30,24.2545770807384,22.4287334217077,56.3922546464162,94
Dominican Republic,Rice,227.5,24.2545770807384,25.7355703575395,155.19717280669,94
North Korea,Wheat,294,5.6182822098725,6.4544526926077,45.294781590482,277
North Korea,Barley,319.5,5.62729015360604,-0.353048027081921,37.1671834385198,274
North Korea,Rice,116,8.23510795344525,10.5388971233976,64.9393694236576,276
North Korea,Millet,166.5,8.23444086757053,18.8268196274876,116.938008143013,275
Timor Leste,Rice,14.5,24.4787881700494,25.1405755720642,213.032678758357,394
Timor Leste,Rice,136,24.4787881700494,24.3880039515248,107.035228694717,394
Ecuador,Wheat,61,19.7471109197634,20.2559229820904,267.668672725714,101
Ecuador,Barley,4.5,19.1521764945984,19.368664845486,168.58680271767,99
Ecuador,Rice,350.5,22.1566354909932,22.3429853478248,86.560117491922,100
Egypt,Wheat,319.5,21.413168738911,18.8103093633473,6.36249914877474,105
Egypt,Barley,334.5,21.5465434223329,16.9732265179254,10.243176455966,102
Egypt,Rice,152.5,20.547988806191,24.2863600022338,0.85735755278515,104
El Salvador,Rice,151,24.0648365094953,24.7002306713657,233.815613514118,106
El Salvador,Rice,30,24.0648365094953,23.4328491591358,4.09552183967105,106
Eritrea,Wheat,197,24.0752937638277,25.0859822707309,129.891159640262,109
Eritrea,Millet,182,24.0752937704005,25.8514057471522,88.416355067307,108
Eritrea,Barley,192,19.786858276958,21.183153086884,127.074539546934,107
Estonia,Wheat,259,4.94695632654144,10.8320208130266,72.0593749785992,110
Ethiopia,Wheat,151,19.2020737715871,20.1922005483257,108.643772535273,113
Ethiopia,Millet,151,20.1158675454841,21.4066064896425,104.822577457381,112
Ethiopia,Barley,151,19.6770749353747,20.9046261711988,94.7270424230004,111
French Guiana,Rice,34.5,26.2334702438566,25.5882451867978,269.80912511827,118
The Gambia,Millet,182,27.5916281975693,28.7853487057893,151.779855605649,392
The Gambia,Rice,182,27.0415242789237,28.2848273449915,162.450689412671,393
Georgia,Wheat,265.5,9.96721700331026,15.4834532988952,78.4820882048678,120
Ghana,Millet,166.5,28.0121355876895,27.4073396163409,145.073848862904,126
Ghana (South),Rice,121,26.7446332885726,27.7578365110549,146.735204833294,125
Ghana (North),Rice,166.5,27.9712315299996,27.249435181062,146.344617616501,124
Guatemala,Wheat,136.5,22.3638160764104,23.9839066198354,175.200781857461,128
Guatemala,Rice,136,22.3789539628362,24.0024702330057,172.580234854114,127
Guinea,Millet,151,25.1731888606262,26.475537019595,177.744819217457,131
Guinea,Rice,182,25.076174297084,24.9664528975054,313.457593783963,132
Guinea-Bissau,Millet,151,27.1911221850565,28.947571005277,89.8132053847577,129
Guinea-Bissau,Rice,197.5,27.1357835042228,26.8943711798018,394.839130999577,130
Guyana,Rice,121.5,26.8432992794153,26.8043440718034,239.565099305761,136
Haiti,Rice,76,24.0905126672342,23.1520822250579,65.2689804937306,137
Haiti,Rice,243,24.0905126672342,25.5136298313245,183.694082257551,137
Indonesia (Java),Rice,304,26.1141713411322,26.6352631701127,214.631179171771,147
Indonesia (Java),Rice,151,26.1141713411322,26.0817437170765,135.569874751011,147
Indonesia (South Sulawesi (east)),Rice,335,25.6235481339588,26.2678150992207,166.662490267873,148
Indonesia (South Sulawesi (west)),Rice,151,25.4326826489023,25.410319408695,216.508212950185,149
Indonesia (Sumatra),Rice,243,26.1034426319055,26.1006596835226,167.00667428024,150
Indonesia (Sumatra),Rice,90,26.1034426319055,26.320250151833,240.595762386495,150
Iran,Wheat,279,14.5589850379224,17.8891178634836,20.3579262734577,154
Iran,Barley,319.5,14.6556715098195,9.54147789652613,33.7709454711948,152
Iran,Rice,106.5,15.1236038125317,14.4177123286181,40.8005370539731,153
Iraq,Wheat,334,21.3393320895214,12.9189101615751,37.6058981332579,158
Iraq,Barley,318.5,21.5720682728119,16.0371509150433,30.01286815237,155
Israel,Wheat,324,18.970217978418,16.4154577024121,71.1493995688649,160
Israel,Barley,334,18.9711335768356,14.9846381632273,88.2978526228841,159
Cote d'Ivoire,Millet,166.5,26.7368389998246,26.1228680532993,138.406599664104,85
Cote d'Ivoire,Rice,151.5,26.3262404459135,26.5233866465032,158.042279818836,86
